INSERT INTO Member (mAccount, mName, mEmail, mPhone, mAddress, mCreateDate) VALUES
('yf0612', '郭俞汎', '41043104@nfu.edu.tw', '0900787955', '雲林縣虎尾鎮新生路74號', '2024-05-27'),
('pp9988', '無名氏', '94879487@gmail.com', '0987987987', '雲林縣虎尾鎮文化路87號', '2024-05-27'),
('chen.meiling', '陳美玲', 'chen.meiling@gmail.com', '0921789584', '雲林縣虎尾鎮中正路376號', '2024-06-13'),
('zhang.zhihao', '張志豪', 'zhang.zhihao@gmail.com', '0918254368', '雲林縣虎尾鎮忠孝路126號', '2024-06-13'),
('lin.shuhan', '林書涵', 'lin.shuhan@gmail.com', '0909987514', '雲林縣虎尾鎮林森路二段24號', '2024-06-13'),
('li.jiaxin', '李嘉欣', 'li.jiaxin@gmail.com', '0933452841', '雲林縣虎尾鎮民主八路44號', '2024-06-13'),
('wang.yuxiang', '王宇翔', 'wang.yuxiang@gmail.com', '0932542855', '雲林縣虎尾鎮西平路26號', '2024-06-13');

INSERT INTO category(cName) VALUES
("沙拉"),("丼飯"),("咖哩"),("炸物"),("羹類"),("麵類"),("飯類"),
("湯類"),("拉麵"),("日式料理"),("燒肉"),("吃到飽"),("素食"),("鴨肉"),
("麵線"),("冬粉"),("米血"),("蚵仔煎"),("健康餐"),("烏龍麵"),("鍋燒"),
("豆花"),("剉冰"),("火鍋"),("水餃"),("漢堡"),("宵夜"),("輕食"),
("義大利麵"),("咖啡"),("早午餐"),("海鮮"),("炒飯"),("石鍋"),("簡餐"),
("燉飯"),("鬆餅"),("定食"),("燒烤"),("飯糰"),("甜食"),("脆皮豬"),
("焗烤"),("披薩"),("滷味"),("地瓜球"),("地瓜薯條"),("地瓜牛奶"),
("蔥肉煎包"),("韭香煎餃"),("排餐"),("壽司"),("握壽司"),("臭豆腐"),
("鴨血"),("吐司"),("蛋餅"),("飲料"),("生魚片"),("熱炒"),("串燒"),
("酒類"),("套餐"),("牛排"),("豬排"),("雞排"),("鐵板麵"),("玉米濃湯"),
("泡麵"),("台灣菜"),("關東煮"),("蔬食"),("韓式料理"),("炸雞"),
("豆腐鍋"),("義式料理"),("壽喜燒飯"),("牛肉麵"),("滷肉飯"),("雞肉飯"),
("台式便當"),("酒吧"),("燴飯"),("炒麵"),("鹹酥雞"),("飯捲"),("冰品"), ("意麵"),("包子"),("饅頭");

INSERT INTO hours VALUES
(1, "Mon", 11, 30, 14, 30), (1, "Mon", 17, 0, 20, 0),
(1, "Thu", 11, 30, 14, 30), (1, "Thu", 17, 0, 20, 0),
(1, "Fri", 11, 30, 14, 30), (1, "Fri", 17, 0, 20, 0),
(1, "Sat", 11, 30, 14, 30), (1, "Sat", 17, 0, 20, 0),
(1, "Sun", 11, 30, 14, 30), (1, "Sun", 17, 0, 20, 0),
(2, "Tue", 11, 0, 14, 0), (2, "Tue", 17, 0, 20, 0),
(2, "Wed", 11, 0, 14, 0), (2, "Wed", 17, 0, 20, 0),
(2, "Thu", 11, 0, 14, 0), (2, "Thu", 17, 0, 20, 0),
(2, "Fri", 11, 0, 14, 0), (2, "Fri", 17, 0, 20, 0),
(2, "Sat", 11, 0, 14, 0), (2, "Sat", 17, 0, 20, 0),
(3, "Tue", 6, 30, 12, 30), (3, "Wed", 6, 30, 12, 30),
(3, "Thu", 6, 30, 12, 30), (3, "Fri", 6, 30, 12, 30),
(3, "Sat", 6, 30, 12, 30), (3, "Sun", 6, 30, 12, 30),
(4, "Mon", 11, 14, 17, 21), (4, "Tue", 11, 14, 17, 21),
(4, "Wed", 11, 14, 17, 21), (4, "Thu", 11, 14, 17, 21),
(4, "Fri", 11, 14, 17, 21), (4, "Sat", 11, 14, 17, 21),
(4, "Sun", 11, 14, 17, 21), (5, "Mon", 11, 0, 22, 30),
(5, "Tue", 16, 0, 22, 30), (5, "Wed", 16, 0, 22, 30),
(5, "Thu", 16, 0, 22, 30), (5, "Fri", 11, 0, 22, 30),
(5, "Sat", 10, 50, 23, 0), (5, "Sun", 10, 50, 23, 0),
(6, "Mon", 17, 0, 20, 30), (6, "Tue", 17, 0, 20, 30),
(6, "Wed", 17, 0, 20, 30), (6, "Thu", 17, 0, 20, 30),
(6, "Fri", 17, 0, 20, 30), (6, "Sat", 17, 0, 20, 30),
(7, "Mon", 11, 0, 14, 0), (7, "Mon", 17, 0, 22, 0),
(7, "Tue", 11, 0, 14, 0), (7, "Tue", 17, 0, 22, 0),
(7, "Wed", 11, 0, 14, 0), (7, "Wed", 17, 0, 22, 0),
(7, "Thu", 11, 0, 14, 0), (7, "Thu", 17, 0, 22, 0),
(7, "Fri", 11, 0, 14, 0), (7, "Fri", 17, 0, 22, 0),
(7, "Sat", 11, 0, 14, 0), (8, "Mon", 11, 30, 14, 0),
